english,article,singular,plural
blueberry,die,Blaubeere,Blaubeeren
pencil,der,Bleistift,Bleistifte
notepad,der,Block,Blöcke
flower,die,Blume,Blumen
bouquet (of flowers),der,Blumenstrauß,Blumensträuße
pretzel,die,Brezel,Brezeln
letter,der,Brief,Briefe
blackberry,die,Brombeere,Brombeeren
bread roll or bun,das,Brötchen,Brötchen
bridge,die,Brücke,Brücken
brother,der,Bruder,Brüder
broth,die,Brühe,Brühen
book,das,Buch,Bücher
flat iron,das,Bügeleisen,Bügeleisen
office,das,Büro,Büros
bus,der,Bus,Busse
bus line,die,Buslinie,Buslinien
cafeteria,die,Cafeteria,Cafeterias
CD player,der,CD-Player,CD-Player
chat history,der,Chatverlauf,Chatverläufe
boss,der,Chef,Chefs
boss (F),die,Chefin,Chefinnen
computer,der,Computer,Computer
lady,die,Dame,Damen
date,das,Datum,Daten
blanket,die,Decke,Decken
designer,der,Designer,Designer
designer (F),die,Designerin,Designerinnen
dessert,das,Dessert,Desserts
document,das,Dokument,Dokumente
double (quantity of two),das,Doppel,Doppel
semi-detached house,die,Doppelhaushälfte,Doppelhaushälften
double bedroom,das,Doppelzimmer,Doppelzimmer
thirst,der,Durst,
e-mail,die,E-Mail,E-Mails
married couple,das,Ehepaar,Ehepaare
egg,das,Ei,Eier
family house,das,Einfamilienhaus,Einfamilienhäuser
exit,der,Eingang,Eingänge
shopping mall,das,Einkaufszentrum,Einkaufszentrumen
stew (one pan),der,Eintopf,Eintöpfe
single (quantity of one),das,Einzel,Einzel
single bedroom,das,Einzelzimmer,Einzelzimmer
electrician,der,Elektriker,Elektriker
electrician (F),die,Elektrikerin,Elektrikerinnen
parents,die,Eltern,
terraced house (at the end of the street),das,Endreihenhaus,Endreihenhäuser
grandchild,der,Enkel,Enkel
granddaughter,die,Enkelin,Enkelinnen
grandson,der,Enkelsohn,Enkelsöhne
strawberry,die,Erdbeere,Erdbeeren
strawberry pie,der,Erdbeerkuchen,Erdbeerkuchen
initial admission,die,Erstaufnahme,Erstaufnahmen
bicycle,das,Fahrrad,Fahrräder
family,die,Familie,Familien
family name (last name or surname),der,Familienname,Familiennamen
marital status,der,Familienstand,
holiday (a day without work and not a vacation),der,Feiertag,Feiertage
fig,die,Feige,Feigen
fur,das,Fell,Felle
window,das,Fenster,Fenster
TV,der,Fernseher,Fernseher
film,der,Film,Filme
company,die,Firma,Firmen
meat,das,Fleisch,
field or farmland,die,Flur,Fluren
hallway,der,Flur,Flure
photograph (photo),das,Foto,Fotos
photographer,der,Fotograf,Fotografen
photographer (F),die,Fotografin,Fotografinnen
question,die,Frage,Fragen
women,die,Frau,Frauen
ladies night,der,Frauenabend,Frauenabende
friend (m),der,Freund,Freunde
friend (f),die,Freundin,Freundinnen
hairdresser or barber,der,Friseur,Friseure
hairdresser (F),die,Friseurin,Friseurinnen
fox (m),der,Fuchs,Füchse
vixen (a female fox),die,Füchsin,Füchsinnen
foot,der,Fuß,Füße
football (soccer),der,Fußball,Fußbälle
food,das,Futter,Futter
fork,die,Gabel,Gabeln
way (hallway),der,Gang,Gänge
wardrobe,die,Garderobe,Garderoben
garden,der,Garten,Gärten
guest,der,Gast,Gäste
birth,die,Geburt,Geburten
place of birth,der,Geburtsort,Geburtsorte
date of birth,der,Geburtstag,Geburtstage
painting,das,Gemälde,Gemälde
vegetables,das,Gemüse,Gemüse
court or dish (food),das,Gericht,Gerichte
shop or store,das,Geschäft,Geschäfte
sibling,das,Geschwister,Geschwister
glass,das,Glas,Gläser
grandparents,die,Großeltern,
grandchild,das,Großkind,Großkinder
guava,die,Guave,Guaven
minced meat,das,Hackfleisch,Hackfleische
half-broder (have one biological parent in common),der,Halbbruder,Halbbrüder
half-sister (have one biological parent in common),die,Halbschwester,Halbschwestern
half,die,Hälfte,Hälften
stop (bus stop),die,Haltestelle,Haltestellen
hand,die,Hand,Hände
mobile phone,das,Handy,Handys
rabbit (m),der,Hase,Hasen
doe (a female rabbit),die,Häsin,Häsinnen
main train station,der,Hauptbahnhof,Hauptbahnhöfe
main dish,das,Hauptgericht,Hauptgerichte
main course or main dish,die,Hauptspeise,Hauptspeisen
building (house),das,Haus,Häuser
homework,die,Hausaufgabe,Hausaufgaben
housewife,die,Hausfrau,Hausfrauen
househusband,der,Hausmann,Hausmänner
door (house) number,die,Hausnummer,Hausnummern
slippers (in doors),der,Hausschuh,Hausschuhe
notebook,das,Heft,Hefte
asylum or shelter,das,Heim,Heime
heating,die,Heizung,Heizungen
shirt,das,Hemd,Hemden
cooker,der,Herd,Herde
gentleman,der,Herr,Herren
high-rise building,das,Hochhaus,Hochhäuser
wood,das,Holz,Hölzer
homepage,die,Homepage,Homepages
nest,der,Horst,Horste
trousers,die,Hose,Hosen
dog,der,Hund,Hunde
bitch,die,Hündin,Hündinnen
hunger,der,Hunger,
computer scientist,der,Informatiker,Informatiker
computer scientist (F),die,Informatikerin,Informatikerinnen
information,die,Information,Informationen
engineer,der,Ingenieur,Ingenieure
engineer (F),die,Ingenieurin,Ingenieurinnen
internet,das,Internet,
internet address,die,Internetadresse,Internetadressen
year,das,Jahr,Jahre
seasons,die,Jahreszeiten,Jahreszeiten
boy,der,Junge,Jungen
coffee,der,Kaffee,Kaffees
coffee shop,das,Kaffeehaus,Kaffeehäuser
card or map,die,Karte,Karten
potato,die,Kartoffel,Kartoffeln
cashier,der,Kassierer,Kassierer
cashier (F),die,Kassiererin,Kassiererinnen
chestnut (tree),die,Kastanie,Kastanien
chestnut garden,der,Kastaniengarten,Kastaniengärten
cat,die,Katze,Katzen
biscuit or cookie,der,Keks,Kekse
cellar (basement),der,Keller,Keller
waiter,der,Kellner,Kellner
waitress,die,Kellnerin,Kellnerinnen
child,das,Kind,Kinder
children's room (nursery),das,Kinderzimmer,Kinderzimmer
cinema,das,Kino,Kinos
church,die,Kirche,Kirchen
cherry,die,Kirsche,Kirschen
pillow,das,Kissen,Kissen
kiwi,der,Kiwi,Kiwis
piano,das,Klavier,Klaviere
glue,der,Kleber,Kleber
hanger,der,Kleiderbügel,Kleiderbügel
pub (bar),die,Kneipe,Kneipen
cook,der,Koch,Köche
cook (F),die,Köchin,Köchinnen
coconut,die,Kokosnuss,Kokosnüsse
inhabitant of Cologne,der,Kölner,Kölner
inhabitant of Cologne (F),die,Kölnerin,Kölnerinnen
chest of drawers,die,Kommode,Kommoden
concert,das,Konzert,Konzerte
head,der,Kopf,Köpfe
pillow,das,Kopfkissen,Kopfkissen
correspondence,die,Korrespondenz,Korrespondenzen
tie,die,Krawatte,Krawatten
crossroad or junction,die,Kreuzung,Kreuzungen
kitchen,die,Küche,Küchen
cake,der,Kuchen,Kuchen
ball pen,der,Kugelschreiber,Kugelschreiber
fridge,der,Kühlschrank,Kühlschränke
customer,der,Kunde,Kunden
customer (F),die,Künderin,Künderinnen
course,der,Kurs,Kurse
shop or store,der,Laden,Läden
lamb,das,Lamm,Lämmer
lamp,die,Lampe,Lampen
laptop,das,Laptop,Laptops
liver,die,Leber,Leber
liver sausage,die,Leberwurst,Leberwürste
teacher,der,Lehrer,Lehrer
teacher (F),die,Lehrerin,Lehrerinnen
passion,die,Leidenschaft,Leidenschaften
lesson,die,Lektion,Lektionen
learn step,der,Lernschritt,Lernschritte
people,die,Leute,
ruler,das,Lineal,Lineale
line,die,Linie,Linien
spoon,der,Löffel,Löffel
meeting place,das,Lokal,Lokale
girl,das,Mädchen,Mädchen
mango,die,Mango,Mangos
man,der,Mann,Männer
passionfruit,die,Maracuja,Maracujas
market place,der,Marktplatz,Marktplätze
machine,die,Maschine,Maschinen
apartments complex (building),das,Mehrfamilienhaus,Mehrfamilienhäuser
melon,die,Melone,Melonen
knife,das,Messer,Messer
rent,die,Miete,Mieten
tenant,der,Mieter,Mieter
tenant (F),die,Mieterin,Mieterinnen
milk,die,Milch,Milchen
minute,die,Minute,Minuten
lunch break,die,Mittagspause,Mittagspausen
furniture,das,Möbel,Möbel
month,die,Monat,Monate
museum,das,Museum,Museen
muesli or cereal,das,Müsli,Müslis
mother,die,Mutter,Mütter
neighbour,der,Nachbar,Nachbarn
neighbour (F),die,Nachbarin,Nachbarinnen
last name (surname),der,Nachname,Nachnamen
message or news,die,Nachricht,Nachrichten
dessert,die,Nachspeise,Nachspeisen
dessert,der,Nachtisch,Nachtische
name,der,Name,Namen
pasta and noodles,die,Nudel,Nudeln
number,die,Nummer,Nummern
nut,die,Nuss,Nüsse
waiter (older German),der,Ober,Ober
matron,die,Oberin,Oberinnen
fruit,das,Obst,
grandmother,die,Oma,Omas
uncle,der,Onkel,Onkel
grandfather,der,Opa,Opas
orange,die,Orange,Orangen
orange juice,der,Orangensaft,Orangensäfte
place,der,Ort,Orte
pair,das,Paar,Paare
papaya,die,Papaya,Papayas
park,der,Park,Parks
break,die,Pause,Pausen
pepper,der,Pfeffer,Pfeffer
peach,der,Pfirsich,Pfirsiche
plant,die,Pflanze,Pflanzen
plum,die,Pflaume,Pflaumen
paintbrush,der,Pinsel,Pinsel
pizza,die,Pizza,Pizzas
plan (schedule),der,Plan,Pläne
"square, place or spot",der,Platz,Plätze
policeman,der,Polizist,Polizisten
policewoman,die,Polizistin,Polizistinnen
wallet,das,Portemonnaie,Portemonnaies
postoffice (mail),die,Post,Posten
post code,die,Postleitzahl,Postleitzahlen
prince,der,Prinz,Prinzen
princess,die,Prinzessin,Prinzessinnen
suqare meter,der,Quadratmeter,Quadratmeter
bicycle or wheel,das,Rad,Räder
eraser,der,Radiergummi,Radiergummis
room,der,Raum,Räume
shelf,das,Regal,Regale
terraced house,das,Reihenhaus,Reihenhäuser
rice,der,Reis,
travel,die,Reise,Reisen
pensioner,der,Rentner,Rentner
pensioner (F),die,Rentnerin,Rentnerinnen
reservation,die,Reservierung,Reservierungen
restaurant,das,Restaurant,Restaurants
reception,die,Rezeption,Rezeptionen
beef,das,Rindfleisch,
"rucksack, knapsack, backpack, or haversack",der,Rucksack,Rucksäcke
telephone number,die,Rufnummer,Rufnummern
thing,die,Sache,Sachen
juice,der,Saft,Säfte
salami,die,Salami,Salami
salad,der,Salat,Salate
salt,das,Salz,Salze
sentence,der,Satz,Sätze
unclosed plastic container or bowl,die,Schale,Schalen
scissors,die,Schere,Scheren
sign,das,Schild,Schilder
ham,der,Schinken,Schinken
bedroom,das,Schlafzimmer,Schlafzimmer
snake,die,Schlange,Schlangen
bow tie,die,Schleife,Schleifen
palace or castle,das,Schloss,Schlösser
locksmith,der,Schlosser,Schlosser
locksmith (F),die,Schlosserin,Schlosserinnen
key,der,Schlüssel,Schlüssel
snow,der,Schnee,
chocolate,die,Schokolade,Schokoladen
closet,der,Schrank,Schränke
desk,der,Schreibtisch,Schreibtische
step (move),der,Schritt,Schritte
drawer,die,Schublade,Schubladen
shoe,der,Schuh,Schuhe
school,die,Schule,Schulen
student (young),der,Schüler,Schüler
student (young) (F),die,Schülerin,Schülerinnen
bowl,die,Schüssel,Schüsseln
brother-in-law,der,Schwager,Schwäger
sister-in-law,die,Schwägerin,Schwägerinnen
pork,das,Schweinefleisch,
sister,die,Schwester,Schwestern
in-law,die,Schwieger,Schwiegern
parents-in-law,die,Schwiegereltern,
son-in-law,der,Schwiegersohn,Schwiegersöhne
daughter-in-law,die,Schwiegertochter,Schwiegertöchter
father-in-law,der,Schwiegervater,Schwiegerväter
page,die,Seite,Seiten
secretariat,das,Sekretariat,Sekretariate
second,die,Sekund,Sekunden
t-shirt,das,Shirt,Shirts
sofa,das,Sofa,Sofas
son,der,Sohn,Söhne
food or meal,die,Speise,Speisen
mirror,der,Spiegel,Spiegel
language,die,Sprache,Sprachen
city,die,Stadt,Städte
city trip,die,Städtereise,Städtereisen
position or status,der,Stand,Stände
station,die,Station,Stationen
steak,das,Steak,Steaks
wall socket (electrical outlet),die,Steckdose,Steckdosen
plug,der,Stecker,Stecker
position or job,die,Stelle,Stellen
step-broder (related only by the marriage),der,Stiefbruder,Stiefbrüder
step-sister (related only by the marriage),die,Stiefschwester,Stiefschwestern
step-son (related only by the marriage),der,Stiefsohn,Stiefsöhne
step-daughter (related only by the marriage),die,Stieftochter,Stieftöchter
pen,der,Stift,Stifte
street,die,Straße,Straßen
street train (tram),die,Straßenbahn,Straßenbahnen
street train (tram) line,die,Straßenbahnlinie,Straßenbahnlinien
student,der,Student,Studenten
student (F),die,Studentin,Studentinnen
chair,der,Stuhl,Stühle
hour,die,Stunde,Stunden
soup,die,Suppe,Suppen
soup,die,Suppe,Suppen
board (whiteboard),die,Tafel,Tafeln
day,der,Tag,Tage
aunt,die,Tante,Tanten
dancing hall,das,Tanzlokal,Tanzlokale
bag,die,Tasche,Taschen
cup,die,Tasse,Tassen
tea,der,Tee,Tees
plate,der,Teller,Teller
carpet,der,Teppich,Teppiche
appointment,der,Termin,Termine
timetable (time schedule),der,Terminplan,Terminpläne
theater,das,Theater,Theater
animal,das,Tier,Tiere
animal shelter,das,Tierheim,Tierheime
table,der,Tisch,Tische
daughter,die,Tochter,Töchter
toilet,die,Toilette,Toiletten
pan or pot,der,Topf,Töpfe
bunch of grapes,die,Traube,Trauben
stairs,die,Treppe,Treppen
door,die,Tür,Türen
exercise,die,Übung,Übungen
clock or watch or time,die,Uhr,Uhren
universtity,die,Universität,Universitäten
dwelling,die,Unterkunft,Unterkünfte
class (lesson),der,Unterricht,Unterrichte
holiday,der,Urlaub,Urlaube
cause or reason,die,Ursache,Ursachen
vase,die,Vase,Vasen
father,der,Vater,Väter
sales person,der,Verkäufer,Verkäufer
sales person (F),die,Verkäuferin,Verkäuferinnen
history,der,Verlauf,Verläufe
landloard,der,Vermieter,Vermieter
landlady,die,Vermieterin,Vermieterinnen
quarter,das,Viertel,Viertel
visiting card,die,Visitenkarte,Visitenkarten
bird,der,Vogel,Vögel
wholemeal bread,das,Vollkornbrot,Vollkornbrote
drape,der,Vorhang,Vorhänge
first name,der,Vorname,Vornamen
starter or appetizer,die,Vorspeise,Vorspeisen
area code,die,Vorwahl,Vorwahlen
choice or selection,die,Wahl,Wahlen
wall,die,Wand,Wände
tub,die,Wanne,Wannen
goods,die,Ware,Waren
sink (wash basin),das,Waschbecken,Waschbecken
watermelon,die,Wassermelone,Wassermelonen
path,der,Weg,Wege
wine,der,Wein,Weine
grape,die,Weintraube,Weintrauben
world,die,Welt,Welten
host or owner,der,Wirt,Wirte
host or owner (F),die,Wirtin,Wirtinnen
week,die,Woche,Wochen
weekend,das,Wochenende,Wochenenden
shared apartment,die,Wohngemeinschaft,Wohngemeinschafte
apartment,die,Wohnung,Wohnungen
living room,das,Wohnzimmer,Wohnzimmer
cloud (not the internet),die,Wolke,Wolken
sausage,die,Wurst,Würste
number,die,Zahl,Zahlen
tooth,der,Zahn,Zähne
time,die,Zeit,Zeiten
newspaper,die,Zeitung,Zeitungen
headquarters,die,Zentrale,Zentralen
goal,das,Ziel,Ziele
room,das,Zimmer,Zimmer
lemon,die,Zitrone,Zitronen
train,der,Zug,Züge
room with two beds,das,Zweibettzimmer,Zweibettzimmer
